0.0001,0,-0.0005,40
0.0097,0.2417,-0.0834,40
0.0386,0.7206,-0.3953,40
0.0866,1.2007,-0.954,40
0.1538,1.6805,-1.6646,40
0.2402,2.1605,-2.4373,40
0.3458,2.6404,-3.2065,40
0.4706,3.1204,-3.9337,40
0.6146,3.6004,-4.6011,40
0.7778,4.0804,-5.2037,40
0.9602,4.5603,-5.7436,40
1.1619,5.0403,-6.2262,40
1.3827,5.5204,-6.6579,40
1.6226,6.0003,-7.0449,40
1.8819,6.4803,-7.3935,40
2.1602,6.9603,-7.7089,40
2.4579,7.4402,-7.9958,40
2.7746,7.9202,-8.2583,40
3.1106,8.4002,-8.4999,40
3.4659,8.8802,-8.7236,40
3.8403,9.3602,-8.9321,40
4.2339,9.8402,-9.1275,40
4.6467,10.3202,-9.3121,40
5.0787,10.8002,-9.4876,40
5.53,11.2802,-9.6558,40
6.0003,11.7602,-9.8183,40
6.4899,12.2401,-9.9766,40
6.9987,12.7201,-10.1323,40
7.5268,13.2001,-10.2872,40
8.0734,13.6651,-10.4429,40
8.6191,13.642,-10.5986,40
9.1459,13.1706,-10.7516,40
9.6535,12.6906,-10.9015,40
10.1419,12.2106,-11.0502,40
10.611,11.7306,-11.1998,40
11.0612,11.2506,-11.3521,40
11.492,10.7705,-11.509,40
11.9035,10.2906,-11.6723,40
12.296,9.8106,-11.8445,40
12.6692,9.3306,-12.0282,40
13.0233,8.8506,-12.2263,40
13.3581,8.3705,-12.4427,40
13.6737,7.8905,-12.6822,40
13.9701,7.4106,-12.9511,40
14.2474,6.9306,-13.2581,40
14.5054,6.4505,-13.6149,40
14.7442,5.9706,-14.0388,40
14.9651,5.5225,-14.2512,40
15.1796,5.3644,-10.3955,40
15.3885,5.2223,-5.2089,40
15.5899,5.0344,0.1476,40
15.7827,4.8203,5.7262,40
15.9667,4.6001,11.5655,40
16.1424,4.3921,17.6869,40
16.3109,4.2118,24.0886,40
16.4737,4.0715,30.741,40
16.633,3.9802,37.5872,40
16.7908,3.9448,44.5453,40
16.9495,3.9698,51.5132,40
17.1119,4.0587,58.3826,40
17.2804,4.2139,65.0497,40
17.4579,4.4372,71.4247,40
17.6471,4.7296,77.4401,40
17.8508,5.0923,83.0541,40